brand,model,year,fuel,transmission,owner,km_driven,mileage_num,engine_num,max_power_num,price_lakh
Maruti,Swift Dzire,2014,Diesel,Manual,First Owner,145500,23.4,1248.0,74.0,4.5
Skoda,Rapid 1.5,2014,Diesel,Manual,Second Owner,120000,21.14,1498.0,103.52,3.7
Honda,City 2017-2020,2006,Petrol,Manual,Third Owner,140000,17.7,1497.0,78.0,1.58
Hyundai,i20 Sportz,2010,Diesel,Manual,First Owner,127000,23.0,1396.0,90.0,2.25
Maruti,Swift VXI,2007,Petrol,Manual,First Owner,120000,16.1,1298.0,88.2,1.3
Hyundai,Xcent 1.2,2017,Petrol,Manual,First Owner,45000,20.14,1197.0,81.86,4.4
Maruti,Wagon R,2007,LPG,Manual,First Owner,175000,17.3,1061.0,57.5,0.96
Maruti,800 DX,2001,Petrol,Manual,Second Owner,5000,16.1,796.0,37.0,0.45
Toyota,Etios VXD,2011,Diesel,Manual,First Owner,90000,23.59,1364.0,67.1,3.5
Ford,Figo Diesel,2013,Diesel,Manual,First Owner,169000,20.0,1399.0,68.1,2.0
Renault,Duster 110PS,2014,Diesel,Manual,Second Owner,68000,19.01,1461.0,108.45,5.0
Maruti,Zen LX,2005,Petrol,Manual,Second Owner,100000,17.3,993.0,60.0,0.92
Maruti,Swift Dzire,2009,Diesel,Manual,Second Owner,140000,19.3,1248.0,73.9,2.8
Maruti,Wagon R,2009,Petrol,Manual,Second Owner,90000,18.9,1061.0,67.0,1.8
Mahindra,KUV 100,2016,Petrol,Manual,First Owner,40000,18.15,1198.0,82.0,4.0
Maruti,Ertiga SHVS,2016,Diesel,Manual,Second Owner,70000,24.52,1248.0,88.5,7.78
Hyundai,i20 1.4,2012,Diesel,Manual,Second Owner,53000,23.0,1396.0,90.0,5.0
Maruti,Alto LX,2002,Petrol,Manual,Second Owner,80000,19.7,796.0,46.3,1.5
Hyundai,i20 2015-2017,2016,Diesel,Manual,First Owner,100000,22.54,1396.0,88.73,6.8
Mahindra,Verito 1.5,2011,Diesel,Manual,Second Owner,100000,21.0,1461.0,64.1,1.74
Honda,WR-V i-DTEC,2017,Diesel,Manual,First Owner,50000,25.5,1498.0,98.6,9.5
Maruti,Swift Dzire,2015,Diesel,Manual,First Owner,40000,26.59,1248.0,74.0,5.25
Maruti,SX4 ZDI,2012,Diesel,Manual,First Owner,72000,21.5,1248.0,88.8,6.0
Tata,Tigor 2017-2020,2018,Petrol,Manual,First Owner,35000,20.3,1199.0,83.81,5.0
Maruti,Baleno Delta,2016,Petrol,Manual,First Owner,45000,21.4,1197.0,83.1,5.75
Maruti,Alto 800,2017,Petrol,Manual,First Owner,28000,24.7,796.0,47.3,2.75
Chevrolet,Enjoy TCDi,2013,Diesel,Manual,First Owner,70000,18.2,1248.0,73.8,3.0
Maruti,Wagon R,2009,Petrol,Manual,First Owner,120000,18.9,1061.0,67.0,2.2
Maruti,Omni E,2018,Petrol,Manual,First Owner,25000,16.8,796.0,34.2,2.55
Maruti,Vitara Brezza,2017,Diesel,Manual,First Owner,70000,24.3,1248.0,88.5,6.7
Maruti,Omni 8,2012,Petrol,Manual,Second Owner,35000,14.0,796.0,35.0,1.5
